ID,Name,Address,Phone Number,International Phone Number,Opening hours,Website,Business status,Rating,Total Reviewers,Google maps URL,Latitude,Longitude
ChIJveZ3TL4uVBMRF_2HEA6ljic,Winery „Chateau Sopot“,"MK, Veles",078 663 300,+389 78 663 300,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",https://www.facebook.com/chateausopotmacedonia/,OPERATIONAL,4.4,670,https://maps.google.com/?cid=2850397093997575447,41.7777559,21.7409903
ChIJpQh2dD7rVhMRPAhHv6_3g1U,Sarika Winery,"Mirche Acev 128, Prilep",071 278 316,+389 71 278 316,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,OPERATIONAL,5,5,https://maps.google.com/?cid=6162041049373411388,41.3403377,21.5624017
ChIJX4itd88_VBMRCLmXem76yWo,Winery „Kamnik“,Kamnik bb Skopje MK,02 252 1789,+389 2 252 1789,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20094:00\u202fPM']",http://www.chateaukamnik.com/,OPERATIONAL,4.8,157,https://maps.google.com/?cid=7694956790749313288,42.0077514,21.4902808
ChIJM9rxECQTVBMRt9VHpU1PX5A,Winery Kuvin,"Makedonska Prerodba бр.70, Skopje",075 233 340,+389 75 233 340,[],http://www.winerykuvin.com/,OPERATIONAL,5,10,https://maps.google.com/?cid=10403120859153159607,42.00948349999999,21.351241
ChIJ0Vt5uS4tVBMRVs6bD5jFFPI,OldSchoolWinery,Lake Mladost Veles MK,075 355 900,+389 75 355 900,[],https://m.facebook.com/OldSchoolWinery2020/,OPERATIONAL,4.7,6,https://maps.google.com/?cid=17443784513600343638,41.7736154,21.767121
ChIJo_O3_cQSVBMRfzZp3ll_Xfg,Bord Life,"1106, Skopje 1000, Skopje",070 331 114,+389 70 331 114,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,OPERATIONAL,4.9,18,https://maps.google.com/?cid=17896600518200473215,42.0586418,21.3176565
ChIJL2QhlP89VBMRsCVZ9OPqf1E,Winery „Kartal“,ul.1519 br.7 Skopje MK,070 242 419,+389 70 242 419,"['Monday: 12:00\u2009–\u20094:00\u202fPM', 'Tuesday: 12:00\u2009–\u20094:00\u202fPM', 'Wednesday: 12:00\u2009–\u20094:00\u202fPM', 'Thursday: 12:00\u2009–\u20094:00\u202fPM', 'Friday: 12:00\u2009–\u20094:00\u202fPM', 'Saturday: 12:00\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",http://www.kartal.com.mk/,OPERATIONAL,4.9,53,https://maps.google.com/?cid=5872670703892374960,41.96243399999999,21.4763996
ChIJ81Roz8kVVBMRcEw7I8AKE3s,Filovski Winery,"23, 11th October St. 1/1, Skopje",02 313 3394,+389 2 313 3394,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=8868443911563725936,41.9922146,21.4342922
ChIJc_YQV7MtVBMRDBmna83oVBQ,Tristo,"QQQR+GCP, Otovica Sujaklari, Sojaklari",043 212 065,+389 43 212 065,[],N/A,OPERATIONAL,5,19,https://maps.google.com/?cid=1465051747774306572,41.7888443,21.7910901
ChIJy5GBJzgUVBMRDv7ltyZOnjo,Vardar Winery & Wines,"Vasil Gjorgov, Skopje",043 370 287,+389 43 370 287,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=4223899428721131022,41.9929627,21.4158512
ChIJj851y9EtVBMRxZAmdvw_qVM,Bela Voda - Tikves Winery Vineyadrs,"QQXC+GVP, Sojaklari",N/A,N/A,[],http://www.tikves.com.mk/,OPERATIONAL,3,4,https://maps.google.com/?cid=6028419929758666949,41.7988315,21.7721987
ChIJf2CeXLUVVBMRQNmmC1Xtiy8,Vardar Winery & Wines,"Dame Gruev, Skopje",043 371 416,+389 43 371 416,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=3426092891068881216,41.9946606,21.4280648
ChIJGS1BVvsrVBMRJn0lyDq3PIc,Kocev Family Wines,"Prohor Pcinski, Veles",072 245 483,+389 72 245 483,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",N/A,OPERATIONAL,5,2,https://maps.google.com/?cid=9744865156816796966,41.7096692,21.787771
ChIJX058x0CDVhMRlpxrmXpyhv0,Manager Tikves Wine Tourism,8 mi septemvri,070 388 507,+389 70 388 507,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=18268414809360538774,41.608635,21.745275
ChIJW3BbFrMtVBMRYY89py4KLBI,Винарија Тристо - Tristo Winery,Гоце Делчев,078 389 958,+389 78 389 958,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=1309432787148574561,41.78897690000001,21.7932594
ChIJwcsyNoIVVBMRZ33jlQRwV4Y,Wine Cellar Tikves AD Skopje,"810 no. 2, Skopje",02 318 1700,+389 2 318 1700,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://www.tikves.com.mk/,OPERATIONAL,4.2,10,https://maps.google.com/?cid=9680329089053064551,42.001556,21.467886
ChIJAe5xEJITVBMRWeBStnlQsYc,Brzanov,"ul 1 br. 4 MK, Trubarevo",075 406 116,+389 75 406 116,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",http://www.brzanov.mk/,OPERATIONAL,4.9,110,https://maps.google.com/?cid=9777684749678207065,41.9856456,21.5171839
ChIJ3bGUYpaEVhMRP9byfZaxkWw,Izvorno,M5,077 901 169,+389 77 901 169,[],N/A,OPERATIONAL,4.7,7,https://maps.google.com/?cid=7823229287635539519,41.6038276,21.6928141
ChIJCTKhCFc_VBMRYVeqTLsON1M,Винарија Мирон (Miron winery),"Palmiro Toljati 88, Skopje",075 336 482,+389 75 336 482,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",http://www.mironvinarija.mk/,OPERATIONAL,5,2,https://maps.google.com/?cid=5996277626475009889,42.0022688,21.498154
ChIJzfXjUSs-VBMRPag96_whDpA,Skovin AD Skopje Winery,15th Korpus No. 3 Skopje 1000,02 314 5701,+389 2 314 5701,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",N/A,OPERATIONAL,4.9,11,https://maps.google.com/?cid=10380271561297733693,42.0004846,21.4785826
