ID,Name,Address,Phone Number,International Phone Number,Opening hours,Website,Business status,Rating,Total Reviewers,Google maps URL,Latitude,Longitude
ChIJ_Sg1if_dUBMRnQqMLXhWbt0,S&S Winery,Ohrid,070 780 608,+389 70 780 608,"['Monday: 5:00\u2009–\u200911:00\u202fPM', 'Tuesday: 5:00\u2009–\u200911:00\u202fPM', 'Wednesday: 5:00\u2009–\u200911:00\u202fPM', 'Thursday: 5:00\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u2009–\u200911:00\u202fPM', 'Saturday: 4:00\u2009–\u200911:00\u202fPM', 'Sunday: 4:00\u2009–\u200911:00\u202fPM']",http://sswinery.com/,OPERATIONAL,5,27,https://maps.google.com/?cid=15955785603980462749,41.1384154,20.7757859
ChIJl2b5-GQlVxMRRg3rp_uyWFs,Ciflik Winery,"2 br.18 Brusnik, Bitola",078 305 369,+389 78 305 369,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fAM']",http://www.ciflikwinery.com/,OPERATIONAL,4.5,664,https://maps.google.com/?cid=6582207649325714758,41.0319937,21.2929092
ChIJWyGnTpDcUBMRmhtoS7b6Oks,Winery Ohrid,"4QHV+56P, Бул. Железничка ББ, Ohrid",046 279 225,+389 46 279 225,[],N/A,OPERATIONAL,5,7,https://maps.google.com/?cid=5420920762349919130,41.1279708,20.7930905
ChIJffvaGwnZUBMRv0QXmK9T4gI,Monastery Winery,"MK, Ohrid",078 474 656,+389 78 474 656,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 12:00\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",http://www.monasterywinery.com/,OPERATIONAL,4.9,150,https://maps.google.com/?cid=207820546448508095,41.1847951,20.8772488
ChIJ12wXw6TcUBMRtjUec-JVHpw,Wine Bar & Winery Mal Sv. Kliment,"Metodi Patche 8, Ohrid",075 223 949,+389 75 223 949,"['Monday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']",http://vilamalsvetikliment.com/,OPERATIONAL,4.8,64,https://maps.google.com/?cid=11249523350300407222,41.1126065,20.7969222
ChIJGwPG-0A1VxMRqy2VmyVXLAQ,Alesto Winery,Arvati,076 387 262,+389 76 387 262,"['Monday: 12:00\u2009–\u20098:00\u202fPM', 'Tuesday: 12:00\u2009–\u20098:00\u202fPM', 'Wednesday: 12:00\u2009–\u20098:00\u202fPM', 'Thursday: 12:00\u2009–\u20098:00\u202fPM', 'Friday: 12:00\u2009–\u20098:00\u202fPM', 'Saturday: 12:00\u2009–\u20098:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']",N/A,OPERATIONAL,5,11,https://maps.google.com/?cid=300711094162632107,40.9429755,21.1120544
ChIJtdjWkI7rVhMRAOtpgrOb3gk,Pirgan,"Народен Херој, MK, Орде Чопела бб, Prilep",070 353 218,+389 70 353 218,"['Monday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",https://winery-362.business.site/?utm_source=gmb&utm_medium=referral,OPERATIONAL,4,5,https://maps.google.com/?cid=711176986460547840,41.365444,21.5155086
ChIJpbpqfns3URMR8DNHLYh_5Cg,Vinarija Baso,"Mara Ugrinova - Gina, Kičevo",N/A,N/A,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=2946620279059067888,41.5029571,20.9534083
ChIJBRSaLEQkVxMRI41uE6NIprQ,Винарска визба Лозар,"28XW+2V9, Bitola",076 377 330,+389 76 377 330,"['Monday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: Closed']",N/A,OPERATIONAL,4.2,266,https://maps.google.com/?cid=13017171638203878691,41.0475436,21.3472231
ChIJ65oTw6TcUBMRIA2HZFIBbBg,Church of Small Saint Clement,"4Q7W+2P9, Metodi Patche, Ohrid",N/A,N/A,[],https://vilamalsvetikliment.com/,OPERATIONAL,4.6,18,https://maps.google.com/?cid=1759783007780539680,41.1125428,20.7968734
ChIJx-NCL1_bUBMR-wtbELj96FE,Hotel & Winery Lozar,"28XW+2V9, Bitola",075 373 542,+389 75 373 542,[],https://and-winery-lozar.hotelgoday.com/,OPERATIONAL,4.4,45,https://maps.google.com/?cid=5902246278659247099,41.0476894,21.3471758
